Common name,Scientific name,Image,Size,Remarks,Tank size,Temperature range,pH range,Water hardness
Brown-Point Shield Skin,Aspidoras fuscoguttatus,,"3.8 cm
(1.5 in)",,30 Gallons,22–25 °C (72–77 °F)[1],5.5–6.8[1],
Aspidoras Cory-Cat; Pygmy Aspidoras,Aspidoras lakoi,,4 cm (1.6 in)[2],,28 Gallons,22–25 °C (72–77 °F),6.5-7.5,
Sixray corydoras; false corydoras,Aspidoras pauciradiatus,,2.9 cm (1.1 in)[3],,20 Gallons,23–28 °C,6.0-7.2[3],
Loach catfish,Aspidoras rochai,,4 cm (1.6 in) maximum length[4],,20 Gallons,21–25°C[4],6.0-7.5[4],
Britski's catfish,Corydoras britskii,,8.9 cm (3.5 in),,,20–24 °C (68–75 °F),6.5-7.2[5],
Hognosed brochis,Corydoras multiradiatus,,6.6 cm (2.6 in),,,21–24 °C,6.0–7.2,
Emerald catfish,Corydoras splendens,,10 cm (3.9 in),The Emerald Cory Catfish is a very hardy and resilient fish.  Disease should not be a concern provided that you maintain the aquarium to standards.[6],20 Gallons,22 – 27.7 °C,5.8-8.0[7],
Cascarudo,Callichthys callichthys,,20 cm (7.9 in),,,18–28 °C,5.8–8.3,
Blacktop corydoras,Corydoras acutus,,4.4 cm (1.7 in),,,22–28 °C[8],6.0–7.5[8],
Adolfo's catfish/corydoras,Corydoras adolfoi,,5.7 cm (2.2 in),,,22–26 °C,6.0–7.0,
Bronze corydoras; Emerald green cory,Corydoras aeneus,,6.35 cm (2.50 in),,,25-28 °C,6.0–8.0,
Agassiz's corydoras,Corydoras agassizii,,5 cm (2 in),,,22–26 °C,6.0-8.0,
Spotted corydoras; Longnose corydoras,Corydoras ambiacus,,6.1 cm (2.0–2.4 in),,27 gal,22–25 °C,6.5–7.2,71.43 - 392.86ppm
Caracha; Fairy Cory,Corydoras atropersonatus,,4.5 cm (1.8 in),,20 gal,21–27 °C,5.0–7.0,36 – 179 ppm
Pink corydoras; Axelrod's Cory,Corydoras axelrodi,,5 cm (1.5–2 in),,21 gal,22–26 °C,6.0–8.0,
Masked corydoras; Bandit corydoras,Corydoras metae,,4.8 cm (1.9 in),,,22–26 °C,6.0-7.0,
Blackstripe corydoras,Corydoras bondi,,4.7 cm (1.9 in),,,20–26 °C[9],6.0–7.5[9],
Tailspot corydoras,Corydoras caudimaculatus,,5 cm (1.5–2 in),,,20–26 °C,6.0–7.0,36 – 179 ppm
Barred-tail corydoras,Corydoras cochui,,2.5 cm (0.98 in),,,21–24 °C,6.0 – 7.0,
False blochi catfish,Corydoras delphax,,5 cm (2 in),,,22–27 °C,5.5–7.5,36 – 215 ppm
Ehrhardt's corydoras,Corydoras ehrhardti,,4.1 cm (1.6 in),,,18-23 °C,6.5–7.5,
Elegant corydoras,Corydoras elegans,,5.1 cm (2.0 in),,,,,
Horseman's cory,Corydoras eques,,5 cm (2 in),,,,,
Evelyn's cory,Corydoras evelynae,,4 cm (1.6 in),,,22–26 °C,6.0-8.0,
Geoffrey's Corydora,Corydoras geoffroy,,7 cm (2.8 in),,,22–26 °C,6.0-8.0,
Skunk corydoras,Corydoras granti,,5.5 cm (2.2 in),,,,,
