Order,Family,Species,"FishBase name",Occurrence,"Name(s) in Territory",Pictures
Tetraodontiformes,Balistidae,"Abalistes stellatus","Starry triggerfish",native,"Malay : Jebong","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Abste_u4.jpg"", ""Open image"")"
Lophiiformes,Antennariidae,"Abantennarius coccineus","Scarlet frogfish",native,"Malay : Lepu merah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ancoc_ud.jpg"", ""Open image"")"
Beloniformes,Belonidae,"Ablennes hians","Flat needlefish",native,"Malay : Todak nipis","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Abhia_m0.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Abudefduf bengalensis","Bengal sergeant",native,"Malay : Gombing Benggala","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Abben_u6.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Abudefduf lorenzi","Black-tail sergeant",native,"Malay : Gombing ekor hitam","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ablor_u2.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Abudefduf notatus","Yellowtail sergeant",native,"Malay : Gombing ekor kuning","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Abnot_u4.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Abudefduf septemfasciatus","Banded sergeant",native,"Malay : Gombing jalur tujuh","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Absep_u0.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Abudefduf sexfasciatus","Scissortail sergeant",native,"Malay : Gombing ekor gunting","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Absex_u0.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Abudefduf sordidus","Blackspot sergeant",native,"Malay : Gombing tompok hitam","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Absor_u6.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Abudefduf vaigiensis","Indo-Pacific sergeant",native,"Malay : Gombing jalur lima","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Abvai_ub.jpg"", ""Open image"")"
Eupercaria/misc,Cepolidae,"Acanthocepola abbreviata",Bandfish,native,"Malay : Reben tanda kuning","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acabb_u0.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Acanthochromis polyacanthus","Spiny chromis",native,"Malay : Kepal laut jalur","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acpol_u0.jpg"", ""Open image"")"
Scombriformes,Scombridae,"Acanthocybium solandri",Wahoo,native,"Malay : Tenggiri wahoo","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acsol_ua.jpg"", ""Open image"")"
Eupercaria/misc,Sparidae,"Acanthopagrus berda","Goldsilk seabream",native,"Malay : Mengkuku","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acber_u9.jpg"", ""Open image"")"
Eupercaria/misc,Sparidae,"Acanthopagrus pacificus","Pacific seabream",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acpac_u1.jpg"", ""Open image"")"
Cypriniformes,Cobitidae,"Acanthopsoides molobrion",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acmol_u1.jpg"", ""Open image"")"
