pet_id,pet_scientific_name,pet_vernacular_name,pet_genus,pet_family,pet_body_shape,pet_traits,pet_max_length,pet_max_weight,pet_longevity,pet_habitat,pet_temperature,pet_ph_range,pet_water_hardness,pet_tank_size,pet_migration_type,pet_danger,pet_is_native,pet_comments,pet_aquarium,pet_cost,pet_image_ref,pet_banned,pet_invasive_risk,pet_care_level,pet_diet
1t,Acanthochelys macrocephala,"Pantanal swamp turtle, Big-headed pantanal swamp turtle",Acanthochelys,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark brown, black brown"", ""dorsal_colour"": ""Black/Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Dark yellow""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Decreasing""}",29.5,2.895,8.2,Wetlands,,,,120.0,,,Not Native,"Used as Pets/display animals, horticulture. Side-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Invertebrates""}"
2t,Acanthochelys pallidipectoris,Chaco side-necked turtle,Acanthochelys,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown, olive color"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",29.5,0.872,8.2,Grassland/Wetlands,,,,120.0,,,Not Native,"Used as Pets/display animals, horticulture. Side-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates""}"
3t,Acanthochelys radiolata,Brazilian radiolated swamp turtle,Acanthochelys,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Grayish brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Unspecified""}",20.0,1.126,8.2,Wetlands,,,,80.0,,,Not Native,"Used as Pets/display animals, horticulture. Side-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Aquatic Insects, Small Fish, Shrimp, Worms And Some Small Amphibians""}"
4t,Acanthochelys spixii,"Black spiny-necked turtle, Spix’s sideneck turtle",Acanthochelys,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark brown, olive color"", ""dorsal_colour"": ""Black/Brown/Grayish brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Black""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Unspecified""}",18.0,0.759,8.2,Wetlands,,,,70.0,,,Not Native,"Used as Pets/display animals, horticulture. Side-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Snails And Larval Amphibians， Aquatic Plants""}"
5t,Actinemys pallida,"Southern pacific pond turtle, Southwestern pond turtle, Tortuga de charcos",Actinemys,Emydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellowish brown"", ""dorsal_colour"": ""Brown/Black"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",21.3,0.325,70.0,Wetlands,,,,80.0,,,Not Native,"Used as Pets/display animals, Food-human. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish, Plants""}"
6t,Aldabrachelys gigantea,Aldabra giant tortoise,Aldabrachelys,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark grayish, bluish black to black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Dark grey""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Unspecified""}",123.0,310.0,187.0,Forest,,,,480.0,,,Not Native,Used as Food-human. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.,,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Mostly herbivorous on low-lying grasses \nand sedges; woody plants such as shrubby \nfig trees""}"
7t,Amyda cartilaginea,Asiatic softshell turtle,Amyda,Trionychidae,"{""turtle"": {""shell_type"": ""Softshell"", ""no_of_toes_fore"": 3, ""no_of_toes_hind"": 3}}","{""turtle"": {""carapace_colour"": ""Grayish green, olive color"", ""dorsal_colour"": ""Brown/Green"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""The ventral nail is white in male and grey in female""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Unspecified""}",80.0,202.0,7.3,Forest/Wetlands,,,,310.0,,,Native,Used as Food-human. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish, Plants""}"
8t,Amyda ornata,Southeast asian softshell turtle,Amyda,Trionychidae,"{""turtle"": {""shell_type"": ""Softshell"", ""no_of_toes_fore"": 3, ""no_of_toes_hind"": 3}}","{""turtle"": {""carapace_colour"": ""Brown black ,  reddish brown"", ""dorsal_colour"": ""Brown/Green"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Not Assessed (as of 2024)"", ""iucn_trend"": ""Unknown""}",65.0,10.21,7.3,Forest/Wetlands,,,,260.0,,,Not Native,Used as Food-human. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish, Plants""}"
9t,Apalone ferox,Florida softshell turtle,Apalone,Trionychidae,"{""turtle"": {""shell_type"": ""Softshell"", ""no_of_toes_fore"": 3, ""no_of_toes_hind"": 3}}","{""turtle"": {""carapace_colour"": ""Dark green with a large number of black diffuse spots"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""White""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Unknown""}",76.0,23.463,36.75,Forest/Wetlands,,,,300.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish""}"
10t,Apalone mutica,Smooth softshell turtle,Apalone,Trionychidae,"{""turtle"": {""shell_type"": ""Softshell"", ""no_of_toes_fore"": 3, ""no_of_toes_hind"": 3}}","{""turtle"": {""carapace_colour"": ""Yellow, yellowish brown to dark chocolate"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""White""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Unknown""}",36.0,4.663,20.0,Wetlands,,,,140.0,,,Not Native,"Used as Food - human, Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish, Plants""}"
